"CUSTOMERNAME","Cluster"
"Mini Gifts Distributors Ltd.","cluster_3"
"Australian Collectables, Ltd","cluster_3"
"Muscle Machine Inc","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_3"
"Saveley & Henriot, Co.","cluster_3"
"Mini Caravy","cluster_3"
"Amica Models & Co.","cluster_3"
"Handji Gifts& Co","cluster_3"
"Iberia Gift Imports, Corp.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"AV Stores, Co.","cluster_0"
"Marseille Mini Autos","cluster_3"
"Toys4GrownUps.com","cluster_2"
"Euro Shopping Channel","cluster_3"
"The Sharp Gifts Warehouse","cluster_0"
"Souveniers And Things Co.","cluster_3"
"Euro Shopping Channel","cluster_0"
"La Corne D'abondance, Co.","cluster_0"
"Muscle Machine Inc","cluster_1"
"Suominen Souveniers","cluster_1"
"Oulu Toy Supplies, Inc.","cluster_1"
"Dragon Souveniers, Ltd.","cluster_1"
"Stylish Desk Decors, Co.","cluster_1"
"Iberia Gift Imports, Corp.","cluster_1"
"Mini Classics","cluster_0"
"Diecast Collectables","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Euro Shopping Channel","cluster_3"
"Handji Gifts& Co","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Diecast Classics Inc.","cluster_1"
"Land of Toys Inc.","cluster_1"
"Marta's Replicas Co.","cluster_1"
"Canadian Gift Exchange Network","cluster_0"
"Vitachrome Inc.","cluster_3"
"Volvo Model Replicas, Co","cluster_1"
"Muscle Machine Inc","cluster_1"
"Euro Shopping Channel","cluster_3"
"Anna's Decorations, Ltd","cluster_0"
"Euro Shopping Channel","cluster_0"
"Euro Shopping Channel","cluster_1"
"La Rochelle Gifts","cluster_0"
"Blauer See Auto, Co.","cluster_0"
"AV Stores, Co.","cluster_0"
"Signal Gift Stores","cluster_1"
"Signal Collectibles Ltd.","cluster_1"
"Corporate Gift Ideas Co.","cluster_0"
"Rovelli Gifts","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_3"
"Australian Collectables, Ltd","cluster_1"
"Muscle Machine Inc","cluster_0"
"Corrida Auto Replicas, Ltd","cluster_0"
"Saveley & Henriot, Co.","cluster_2"
"Diecast Collectables","cluster_1"
"Amica Models & Co.","cluster_1"
"Handji Gifts& Co","cluster_0"
"Auto Assoc. & Cie.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Online Diecast Creations Co.","cluster_2"
"AV Stores, Co.","cluster_3"
"Marseille Mini Autos","cluster_0"
"Lyon Souveniers","cluster_0"
"Toys4GrownUps.com","cluster_0"
"Euro Shopping Channel","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Handji Gifts& Co","cluster_3"
"Souveniers And Things Co.","cluster_1"
"Baane Mini Imports","cluster_3"
"La Corne D'abondance, Co.","cluster_0"
"Corrida Auto Replicas, Ltd","cluster_0"
"Technics Stores Inc.","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_0"
"Dragon Souveniers, Ltd.","cluster_3"
"Stylish Desk Decors, Co.","cluster_0"
"Iberia Gift Imports, Corp.","cluster_3"
"Saveley & Henriot, Co.","cluster_0"
"Diecast Collectables","cluster_3"
"Handji Gifts& Co","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Euro Shopping Channel","cluster_3"
"Handji Gifts& Co","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Diecast Classics Inc.","cluster_3"
"Scandinavian Gift Ideas","cluster_3"
"Marta's Replicas Co.","cluster_3"
"Canadian Gift Exchange Network","cluster_3"
"Online Diecast Creations Co.","cluster_3"
"Volvo Model Replicas, Co","cluster_3"
"Australian Collectors, Co.","cluster_2"
"Mini Gifts Distributors Ltd.","cluster_3"
"Anna's Decorations, Ltd","cluster_3"
"Corporate Gift Ideas Co.","cluster_3"
"Anna's Decorations, Ltd","cluster_3"
"Euro Shopping Channel","cluster_0"
"La Rochelle Gifts","cluster_3"
"Rovelli Gifts","cluster_0"
"Australian Collectors, Co.","cluster_3"
"Euro Shopping Channel","cluster_0"
"Toys4GrownUps.com","cluster_3"
"Technics Stores Inc.","cluster_3"
"Osaka Souveniers Co.","cluster_0"
"Australian Collectors, Co.","cluster_1"
"Royal Canadian Collectables, Ltd.","cluster_3"
"The Sharp Gifts Warehouse","cluster_0"
"Gift Depot Inc.","cluster_0"
"La Rochelle Gifts","cluster_0"
"Norway Gifts By Mail, Co.","cluster_3"
"Clover Collections, Co.","cluster_3"
"Mini Classics","cluster_3"
"Diecast Classics Inc.","cluster_0"
"Danish Wholesale Imports","cluster_1"
"Tokyo Collectables, Ltd","cluster_0"
"Gift Ideas Corp.","cluster_0"
"Australian Gift Network, Co","cluster_0"
"Euro Shopping Channel","cluster_3"
"Reims Collectables","cluster_3"
"Tekni Collectables Inc.","cluster_0"
"L'ordine Souveniers","cluster_3"
"Land of Toys Inc.","cluster_3"
"Australian Collectors, Co.","cluster_0"
"Lyon Souveniers","cluster_3"
"Toys4GrownUps.com","cluster_3"
"Corporate Gift Ideas Co.","cluster_3"
"Technics Stores Inc.","cluster_0"
"Daedalus Designs Imports","cluster_3"
"Herkku Gifts","cluster_3"
"Mini Wheels Co.","cluster_3"
"Osaka Souveniers Co.","cluster_3"
"Australian Collectors, Co.","cluster_3"
"Motor Mint Distributors Inc.","cluster_3"
"Tekni Collectables Inc.","cluster_3"
"Gift Depot Inc.","cluster_3"
"La Rochelle Gifts","cluster_3"
"Marta's Replicas Co.","cluster_3"
"Atelier graphique","cluster_3"
"Mini Classics","cluster_3"
"Diecast Classics Inc.","cluster_3"
"Land of Toys Inc.","cluster_1"
"Tokyo Collectables, Ltd","cluster_3"
"Technics Stores Inc.","cluster_3"
"Australian Gift Network, Co","cluster_3"
"Scandinavian Gift Ideas","cluster_2"
"Auto Canal Petit","cluster_0"
"Euro Shopping Channel","cluster_3"
"Blauer See Auto, Co.","cluster_0"
"AV Stores, Co.","cluster_1"
"Australian Collectors, Co.","cluster_1"
"Souveniers And Things Co.","cluster_2"
"Signal Collectibles Ltd.","cluster_0"
"Corporate Gift Ideas Co.","cluster_2"
"Rovelli Gifts","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Australian Collectables, Ltd","cluster_0"
"Euro Shopping Channel","cluster_2"
"Corrida Auto Replicas, Ltd","cluster_2"
"Saveley & Henriot, Co.","cluster_1"
"Euro Shopping Channel","cluster_1"
"Mini Caravy","cluster_0"
"Amica Models & Co.","cluster_1"
"Herkku Gifts","cluster_2"
"Auto Assoc. & Cie.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Online Diecast Creations Co.","cluster_1"
"AV Stores, Co.","cluster_3"
"Australian Collectors, Co.","cluster_1"
"Lyon Souveniers","cluster_1"
"Toys4GrownUps.com","cluster_0"
"Euro Shopping Channel","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Motor Mint Distributors Inc.","cluster_0"
"Atelier graphique","cluster_1"
"Reims Collectables","cluster_0"
"Anna's Decorations, Ltd","cluster_0"
"Heintze Collectables","cluster_0"
"Gift Depot Inc.","cluster_1"
"Herkku Gifts","cluster_0"
"Online Diecast Creations Co.","cluster_1"
"Muscle Machine Inc","cluster_0"
"Euro Shopping Channel","cluster_1"
"Collectable Mini Designs Co.","cluster_0"
"Mini Caravy","cluster_2"
"UK Collectables, Ltd.","cluster_1"
"L'ordine Souveniers","cluster_0"
"Signal Gift Stores","cluster_0"
"Vida Sport, Ltd","cluster_1"
"Norway Gifts By Mail, Co.","cluster_0"
"Euro Shopping Channel","cluster_1"
"FunGiftIdeas.com","cluster_0"
"Motor Mint Distributors Inc.","cluster_3"
"Reims Collectables","cluster_3"
"Royale Belge","cluster_1"
"Euro Shopping Channel","cluster_1"
"The Sharp Gifts Warehouse","cluster_1"
"Salzburg Collectables","cluster_2"
"Baane Mini Imports","cluster_3"
"Volvo Model Replicas, Co","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_0"
"Souveniers And Things Co.","cluster_1"
"Dragon Souveniers, Ltd.","cluster_0"
"Classic Legends Inc.","cluster_0"
"Australian Gift Network, Co","cluster_1"
"Classic Gift Ideas, Inc","cluster_0"
"Australian Collectables, Ltd","cluster_3"
"Canadian Gift Exchange Network","cluster_0"
"West Coast Collectables Co.","cluster_1"
"Cambridge Collectables Co.","cluster_3"
"Euro Shopping Channel","cluster_0"
"The Sharp Gifts Warehouse","cluster_1"
"Souveniers And Things Co.","cluster_0"
"Amica Models & Co.","cluster_1"
"Scandinavian Gift Ideas","cluster_1"
"Auto Assoc. & Cie.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Online Diecast Creations Co.","cluster_0"
"Mini Wheels Co.","cluster_0"
"Australian Collectors, Co.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Collectables For Less Inc.","cluster_1"
"Corporate Gift Ideas Co.","cluster_0"
"Anna's Decorations, Ltd","cluster_3"
"Petit Auto","cluster_3"
"Baane Mini Imports","cluster_3"
"Mini Wheels Co.","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_0"
"Souveniers And Things Co.","cluster_3"
"Dragon Souveniers, Ltd.","cluster_3"
"Classic Legends Inc.","cluster_0"
"Rovelli Gifts","cluster_3"
"Classic Gift Ideas, Inc","cluster_3"
"Australian Collectables, Ltd","cluster_3"
"Canadian Gift Exchange Network","cluster_3"
"West Coast Collectables Co.","cluster_3"
"Cambridge Collectables Co.","cluster_0"
"Euro Shopping Channel","cluster_3"
"The Sharp Gifts Warehouse","cluster_3"
"Salzburg Collectables","cluster_3"
"Amica Models & Co.","cluster_0"
"Scandinavian Gift Ideas","cluster_3"
"Auto Assoc. & Cie.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Online Diecast Creations Co.","cluster_3"
"AV Stores, Co.","cluster_0"
"Australian Collectors, Co.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_0"
"Collectables For Less Inc.","cluster_3"
"Corporate Gift Ideas Co.","cluster_0"
"Mini Auto Werke","cluster_3"
"Petit Auto","cluster_3"
"Rovelli Gifts","cluster_0"
"Salzburg Collectables","cluster_3"
"Auto-Moto Classics Inc.","cluster_0"
"Mini Creations Ltd.","cluster_0"
"Toys of Finland, Co.","cluster_0"
"Scandinavian Gift Ideas","cluster_0"
"Alpha Cognac","cluster_0"
"Double Decker Gift Stores, Ltd","cluster_0"
"Enaco Distributors","cluster_0"
"Men 'R' US Retailers, Ltd.","cluster_0"
"Collectable Mini Designs Co.","cluster_1"
"Land of Toys Inc.","cluster_3"
"Euro Shopping Channel","cluster_0"
"Petit Auto","cluster_0"
"Royal Canadian Collectables, Ltd.","cluster_3"
"Bavarian Collectables Imports, Co.","cluster_3"
"Classic Gift Ideas, Inc","cluster_3"
"giftsbymail.co.uk","cluster_3"
"Danish Wholesale Imports","cluster_3"
"Royale Belge","cluster_3"
"Euro Shopping Channel","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_3"
"Euro Shopping Channel","cluster_0"
"Reims Collectables","cluster_3"
"The Sharp Gifts Warehouse","cluster_3"
"Gifts4AllAges.com","cluster_0"
"Baane Mini Imports","cluster_3"
"Mini Wheels Co.","cluster_1"
"Corrida Auto Replicas, Ltd","cluster_0"
"Souveniers And Things Co.","cluster_3"
"Dragon Souveniers, Ltd.","cluster_0"
"Classic Legends Inc.","cluster_1"
"Rovelli Gifts","cluster_0"
"Classic Gift Ideas, Inc","cluster_3"
"Australian Collectables, Ltd","cluster_0"
"Canadian Gift Exchange Network","cluster_0"
"West Coast Collectables Co.","cluster_1"
"Cambridge Collectables Co.","cluster_0"
"Euro Shopping Channel","cluster_0"
"The Sharp Gifts Warehouse","cluster_0"
"Souveniers And Things Co.","cluster_1"
"Amica Models & Co.","cluster_0"
"Scandinavian Gift Ideas","cluster_0"
"Auto Assoc. & Cie.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Online Diecast Creations Co.","cluster_3"
"AV Stores, Co.","cluster_3"
"Australian Collectors, Co.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_1"
"Collectables For Less Inc.","cluster_3"
"Corporate Gift Ideas Co.","cluster_0"
"Mini Auto Werke","cluster_3"
"Petit Auto","cluster_3"
"Danish Wholesale Imports","cluster_0"
"Dragon Souveniers, Ltd.","cluster_0"
"Euro Shopping Channel","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_1"
"Euro Shopping Channel","cluster_0"
"FunGiftIdeas.com","cluster_2"
"CAF Imports","cluster_0"
"Mini Creations Ltd.","cluster_0"
"Super Scale Inc.","cluster_2"
"Saveley & Henriot, Co.","cluster_3"
"Petit Auto","cluster_1"
"giftsbymail.co.uk","cluster_0"
"Land of Toys Inc.","cluster_0"
"Petit Auto","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_2"
"Amica Models & Co.","cluster_0"
"AV Stores, Co.","cluster_0"
"Heintze Collectables","cluster_0"
"Baane Mini Imports","cluster_3"
"La Corne D'abondance, Co.","cluster_1"
"Euro Shopping Channel","cluster_1"
"Tokyo Collectables, Ltd","cluster_0"
"Euro Shopping Channel","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Gifts4AllAges.com","cluster_1"
"Euro Shopping Channel","cluster_1"
"Motor Mint Distributors Inc.","cluster_2"
"La Corne D'abondance, Co.","cluster_2"
"Marseille Mini Autos","cluster_0"
"Muscle Machine Inc","cluster_0"
"Alpha Cognac","cluster_2"
"Suominen Souveniers","cluster_1"
"Anna's Decorations, Ltd","cluster_1"
"Oulu Toy Supplies, Inc.","cluster_0"
"Men 'R' US Retailers, Ltd.","cluster_0"
"Dragon Souveniers, Ltd.","cluster_2"
"Quebec Home Shopping Network","cluster_1"
"Stylish Desk Decors, Co.","cluster_1"
"Herkku Gifts","cluster_1"
"Iberia Gift Imports, Corp.","cluster_1"
"Online Diecast Creations Co.","cluster_0"
"Mini Classics","cluster_2"
"Euro Shopping Channel","cluster_2"
"Diecast Collectables","cluster_0"
"Euro Shopping Channel","cluster_1"
"Vida Sport, Ltd","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_2"
"Euro Shopping Channel","cluster_2"
"UK Collectables, Ltd.","cluster_2"
"Handji Gifts& Co","cluster_0"
"L'ordine Souveniers","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Signal Gift Stores","cluster_1"
"Diecast Classics Inc.","cluster_0"
"Vida Sport, Ltd","cluster_1"
"Land of Toys Inc.","cluster_0"
"Norway Gifts By Mail, Co.","cluster_0"
"Marta's Replicas Co.","cluster_2"
"Toms Spezialitten, Ltd","cluster_2"
"Canadian Gift Exchange Network","cluster_1"
"FunGiftIdeas.com","cluster_1"
"Vitachrome Inc.","cluster_0"
"Motor Mint Distributors Inc.","cluster_0"
"Volvo Model Replicas, Co","cluster_0"
"Australian Collectors, Co.","cluster_1"
"Muscle Machine Inc","cluster_2"
"Euro Shopping Channel","cluster_0"
"Royale Belge","cluster_1"
"Anna's Decorations, Ltd","cluster_3"
"Toys of Finland, Co.","cluster_2"
"Euro Shopping Channel","cluster_2"
"Euro Shopping Channel","cluster_0"
"Mini Caravy","cluster_2"
"Euro Shopping Channel","cluster_2"
"Salzburg Collectables","cluster_1"
"La Rochelle Gifts","cluster_0"
"Danish Wholesale Imports","cluster_0"
"Dragon Souveniers, Ltd.","cluster_3"
"Euro Shopping Channel","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_3"
"Euro Shopping Channel","cluster_3"
"Dragon Souveniers, Ltd.","cluster_1"
"CAF Imports","cluster_0"
"Mini Creations Ltd.","cluster_0"
"Super Scale Inc.","cluster_0"
"Saveley & Henriot, Co.","cluster_1"
"Petit Auto","cluster_3"
"giftsbymail.co.uk","cluster_1"
"Land of Toys Inc.","cluster_1"
"Petit Auto","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Amica Models & Co.","cluster_3"
"AV Stores, Co.","cluster_0"
"Heintze Collectables","cluster_3"
"Volvo Model Replicas, Co","cluster_0"
"La Corne D'abondance, Co.","cluster_3"
"Euro Shopping Channel","cluster_0"
"Tokyo Collectables, Ltd","cluster_3"
"Euro Shopping Channel","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_3"
"Gifts4AllAges.com","cluster_1"
"Cruz & Sons Co.","cluster_3"
"Marseille Mini Autos","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_0"
"Collectables For Less Inc.","cluster_0"
"Corporate Gift Ideas Co.","cluster_3"
"Anna's Decorations, Ltd","cluster_3"
"Herkku Gifts","cluster_3"
"Toms Spezialitten, Ltd","cluster_0"
"Euro Shopping Channel","cluster_0"
"Auto Canal Petit","cluster_0"
"Vida Sport, Ltd","cluster_0"
"Danish Wholesale Imports","cluster_0"
"Auto Canal Petit","cluster_3"
"Australian Collectables, Ltd","cluster_0"
"Online Mini Collectables","cluster_3"
"Vida Sport, Ltd","cluster_0"
"Blauer See Auto, Co.","cluster_0"
"Toms Spezialitten, Ltd","cluster_3"
"Microscale Inc.","cluster_0"
"Land of Toys Inc.","cluster_3"
"Australian Collectors, Co.","cluster_3"
"Suominen Souveniers","cluster_0"
"Euro Shopping Channel","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Baane Mini Imports","cluster_1"
"Mini Wheels Co.","cluster_0"
"Corrida Auto Replicas, Ltd","cluster_0"
"Souveniers And Things Co.","cluster_0"
"Signal Collectibles Ltd.","cluster_0"
"Classic Legends Inc.","cluster_1"
"Rovelli Gifts","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Australian Collectables, Ltd","cluster_3"
"Canadian Gift Exchange Network","cluster_3"
"West Coast Collectables Co.","cluster_1"
"Saveley & Henriot, Co.","cluster_0"
"Euro Shopping Channel","cluster_0"
"The Sharp Gifts Warehouse","cluster_3"
"Amica Models & Co.","cluster_0"
"Auto-Moto Classics Inc.","cluster_3"
"Auto Assoc. & Cie.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Blauer See Auto, Co.","cluster_0"
"Mini Wheels Co.","cluster_2"
"Australian Collectors, Co.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Collectables For Less Inc.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_2"
"Mini Auto Werke","cluster_0"
"Petit Auto","cluster_3"
"Cruz & Sons Co.","cluster_0"
"Marseille Mini Autos","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Collectables For Less Inc.","cluster_1"
"Corporate Gift Ideas Co.","cluster_0"
"Anna's Decorations, Ltd","cluster_1"
"Herkku Gifts","cluster_0"
"Toms Spezialitten, Ltd","cluster_0"
"Euro Shopping Channel","cluster_1"
"Auto Canal Petit","cluster_0"
"Vida Sport, Ltd","cluster_1"
"Danish Wholesale Imports","cluster_1"
"Auto Canal Petit","cluster_2"
"Australian Collectables, Ltd","cluster_2"
"Online Mini Collectables","cluster_0"
"Vida Sport, Ltd","cluster_2"
"Blauer See Auto, Co.","cluster_0"
"Toms Spezialitten, Ltd","cluster_1"
"Volvo Model Replicas, Co","cluster_0"
"Cruz & Sons Co.","cluster_1"
"Australian Collectors, Co.","cluster_1"
"Euro Shopping Channel","cluster_0"
"Suominen Souveniers","cluster_0"
"Euro Shopping Channel","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_2"
"Motor Mint Distributors Inc.","cluster_1"
"Atelier graphique","cluster_1"
"Reims Collectables","cluster_1"
"Anna's Decorations, Ltd","cluster_0"
"Heintze Collectables","cluster_1"
"Gift Depot Inc.","cluster_1"
"Herkku Gifts","cluster_1"
"Online Diecast Creations Co.","cluster_1"
"Muscle Machine Inc","cluster_1"
"Euro Shopping Channel","cluster_1"
"Collectable Mini Designs Co.","cluster_2"
"Osaka Souveniers Co.","cluster_1"
"UK Collectables, Ltd.","cluster_0"
"L'ordine Souveniers","cluster_1"
"Signal Gift Stores","cluster_0"
"Vida Sport, Ltd","cluster_0"
"Norway Gifts By Mail, Co.","cluster_1"
"Euro Shopping Channel","cluster_0"
"FunGiftIdeas.com","cluster_0"
"Motor Mint Distributors Inc.","cluster_3"
"Reims Collectables","cluster_0"
"Toys4GrownUps.com","cluster_1"
"Euro Shopping Channel","cluster_3"
"Danish Wholesale Imports","cluster_2"
"Salzburg Collectables","cluster_1"
"Cruz & Sons Co.","cluster_0"
"Marseille Mini Autos","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Gift Ideas Corp.","cluster_0"
"Corporate Gift Ideas Co.","cluster_3"
"Anna's Decorations, Ltd","cluster_3"
"Daedalus Designs Imports","cluster_3"
"Toms Spezialitten, Ltd","cluster_0"
"Auto Canal Petit","cluster_3"
"Daedalus Designs Imports","cluster_3"
"Vitachrome Inc.","cluster_3"
"Auto Canal Petit","cluster_3"
"Gifts4AllAges.com","cluster_3"
"Online Mini Collectables","cluster_3"
"La Corne D'abondance, Co.","cluster_3"
"Toys of Finland, Co.","cluster_3"
"Toms Spezialitten, Ltd","cluster_0"
"Microscale Inc.","cluster_3"
"Cruz & Sons Co.","cluster_3"
"Australian Collectors, Co.","cluster_3"
"Euro Shopping Channel","cluster_3"
"Suominen Souveniers","cluster_0"
"Euro Shopping Channel","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_1"
"UK Collectables, Ltd.","cluster_3"
"Rovelli Gifts","cluster_1"
"Salzburg Collectables","cluster_0"
"Auto-Moto Classics Inc.","cluster_0"
"Mini Creations Ltd.","cluster_0"
"Toys of Finland, Co.","cluster_0"
"Scandinavian Gift Ideas","cluster_0"
"Alpha Cognac","cluster_1"
"Double Decker Gift Stores, Ltd","cluster_1"
"Enaco Distributors","cluster_3"
"Men 'R' US Retailers, Ltd.","cluster_3"
"Collectable Mini Designs Co.","cluster_0"
"Cambridge Collectables Co.","cluster_1"
"Euro Shopping Channel","cluster_0"
"Petit Auto","cluster_0"
"Royal Canadian Collectables, Ltd.","cluster_1"
"Bavarian Collectables Imports, Co.","cluster_3"
"Classic Gift Ideas, Inc","cluster_0"
"giftsbymail.co.uk","cluster_0"
"Rovelli Gifts","cluster_0"
"Royale Belge","cluster_1"
"Stylish Desk Decors, Co.","cluster_0"
"Oulu Toy Supplies, Inc.","cluster_0"
"Euro Shopping Channel","cluster_3"
"Reims Collectables","cluster_1"
"The Sharp Gifts Warehouse","cluster_2"
"Australian Collectables, Ltd","cluster_1"
"Euro Shopping Channel","cluster_1"
"Dragon Souveniers, Ltd.","cluster_0"
"Muscle Machine Inc","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_0"
"Australian Gift Network, Co","cluster_1"
"Dragon Souveniers, Ltd.","cluster_0"
"L'ordine Souveniers","cluster_1"
"Mini Creations Ltd.","cluster_1"
"Super Scale Inc.","cluster_1"
"Diecast Collectables","cluster_1"
"Clover Collections, Co.","cluster_2"
"Blauer See Auto, Co.","cluster_2"
"Suominen Souveniers","cluster_2"
"Diecast Classics Inc.","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_1"
"Land of Toys Inc.","cluster_2"
"AV Stores, Co.","cluster_0"
"Heintze Collectables","cluster_0"
"Vitachrome Inc.","cluster_1"
"Classic Legends Inc.","cluster_1"
"Muscle Machine Inc","cluster_1"
"Euro Shopping Channel","cluster_3"
"Tokyo Collectables, Ltd","cluster_2"
"Euro Shopping Channel","cluster_1"
"Euro Shopping Channel","cluster_1"
"Gift Depot Inc.","cluster_2"
"Online Diecast Creations Co.","cluster_3"
"AV Stores, Co.","cluster_3"
"Signal Gift Stores","cluster_0"
"Anna's Decorations, Ltd","cluster_0"
"Corporate Gift Ideas Co.","cluster_0"
"Rovelli Gifts","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_0"
"Australian Collectables, Ltd","cluster_3"
"Muscle Machine Inc","cluster_3"
"Double Decker Gift Stores, Ltd","cluster_0"
"Saveley & Henriot, Co.","cluster_0"
"Mini Caravy","cluster_0"
"Amica Models & Co.","cluster_0"
"Handji Gifts& Co","cluster_0"
"UK Collectables, Ltd.","cluster_0"
"Euro Shopping Channel","cluster_0"
"AV Stores, Co.","cluster_2"
"Marseille Mini Autos","cluster_3"
"Toys4GrownUps.com","cluster_0"
"Euro Shopping Channel","cluster_0"
"The Sharp Gifts Warehouse","cluster_3"
"Souveniers And Things Co.","cluster_1"
"Danish Wholesale Imports","cluster_0"
"Dragon Souveniers, Ltd.","cluster_3"
"Euro Shopping Channel","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_3"
"Euro Shopping Channel","cluster_3"
"FunGiftIdeas.com","cluster_3"
"CAF Imports","cluster_3"
"Mini Creations Ltd.","cluster_0"
"Enaco Distributors","cluster_1"
"Saveley & Henriot, Co.","cluster_0"
"Petit Auto","cluster_0"
"giftsbymail.co.uk","cluster_3"
"Land of Toys Inc.","cluster_0"
"Quebec Home Shopping Network","cluster_3"
"Petit Auto","cluster_3"
"Royal Canadian Collectables, Ltd.","cluster_0"
"Amica Models & Co.","cluster_1"
"AV Stores, Co.","cluster_0"
"La Rochelle Gifts","cluster_0"
"Volvo Model Replicas, Co","cluster_0"
"Classic Legends Inc.","cluster_1"
"Euro Shopping Channel","cluster_0"
"Tokyo Collectables, Ltd","cluster_0"
"Euro Shopping Channel","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Gifts4AllAges.com","cluster_3"
"Baane Mini Imports","cluster_0"
"La Corne D'abondance, Co.","cluster_1"
"Corrida Auto Replicas, Ltd","cluster_2"
"Technics Stores Inc.","cluster_1"
"Dragon Souveniers, Ltd.","cluster_1"
"Mini Auto Werke","cluster_1"
"Stylish Desk Decors, Co.","cluster_1"
"Classic Gift Ideas, Inc","cluster_3"
"Saveley & Henriot, Co.","cluster_0"
"Diecast Collectables","cluster_2"
"Handji Gifts& Co","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_1"
"Super Scale Inc.","cluster_3"
"Handji Gifts& Co","cluster_1"
"Souveniers And Things Co.","cluster_1"
"Diecast Classics Inc.","cluster_3"
"Scandinavian Gift Ideas","cluster_1"
"Marta's Replicas Co.","cluster_3"
"Canadian Gift Exchange Network","cluster_0"
"Blauer See Auto, Co.","cluster_1"
"Volvo Model Replicas, Co","cluster_2"
"Australian Collectors, Co.","cluster_1"
"Mini Gifts Distributors Ltd.","cluster_0"
"Anna's Decorations, Ltd","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_1"
"Quebec Home Shopping Network","cluster_1"
"La Rochelle Gifts","cluster_0"
"Baane Mini Imports","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_3"
"Technics Stores Inc.","cluster_3"
"Dragon Souveniers, Ltd.","cluster_3"
"Mini Auto Werke","cluster_3"
"Australian Gift Network, Co","cluster_3"
"Classic Gift Ideas, Inc","cluster_3"
"Saveley & Henriot, Co.","cluster_3"
"Canadian Gift Exchange Network","cluster_3"
"West Coast Collectables Co.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Super Scale Inc.","cluster_0"
"Tokyo Collectables, Ltd","cluster_3"
"Souveniers And Things Co.","cluster_3"
"Diecast Classics Inc.","cluster_3"
"Scandinavian Gift Ideas","cluster_3"
"Auto Assoc. & Cie.","cluster_3"
"Mini Gifts Distributors Ltd.","cluster_3"
"Vitachrome Inc.","cluster_2"
"Mini Wheels Co.","cluster_3"
"Corrida Auto Replicas, Ltd","cluster_2"
"Euro Shopping Channel","cluster_1"
"Anna's Decorations, Ltd","cluster_0"
"Mini Gifts Distributors Ltd.","cluster_2"
"Quebec Home Shopping Network","cluster_3"
"Euro Shopping Channel","cluster_3"
"Cruz & Sons Co.","cluster_1"
